                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.66341,                 1.4178,                0.94543,                 1.0608,                0.37402,                0.42358,                0.42496,                0.30651,                0.39141,                0.40422,                0.40989,                0.28514,                 1.0978,                 2.8276,                 1.7659,                 1.4642,              0.0005347,              0.0005347,              0.0005347
                     49,                0.64291,                 1.3975,                0.89008,                 1.0336,                0.37985,                0.42089,                0.39233,                  0.266,                0.39089,                0.42902,                0.38233,                0.23955,                 1.0584,                 3.0805,                 1.4652,                 1.3611,              0.0005248,              0.0005248,              0.0005248
                     50,                0.67063,                 1.4149,                0.87777,                 1.0663,                0.39975,                0.41564,                 0.3875,                0.27894,                  0.426,                0.39377,                0.37155,                0.25176,                 1.0895,                 2.7159,                 1.5105,                 1.4299,              0.0005149,              0.0005149,              0.0005149
                     51,                 0.6618,                 1.4445,                0.83951,                 1.0552,                0.59494,                0.40961,                0.44702,                0.32317,                0.59544,                0.40148,                0.42697,                0.29504,                 1.0814,                 2.4574,                 1.4612,                 1.4802,               0.000505,               0.000505,               0.000505
                     52,                0.62955,                 1.3732,                  0.836,                 1.0442,                0.44975,                   0.39,                0.39634,                0.27882,                0.44422,                0.38919,                0.38324,                0.26114,                 1.1403,                 2.8323,                 1.5186,                 1.4272,              0.0004951,              0.0004951,              0.0004951
                     53,                0.62644,                 1.4182,                0.79902,                 1.0339,                0.68928,                0.38867,                0.43257,                0.31252,                0.68384,                 0.3882,                0.41366,                0.29114,                 1.0478,                 2.7571,                 1.3707,                 1.3756,              0.0004852,              0.0004852,              0.0004852
                     54,                0.61741,                 1.3015,                0.80635,                 1.0326,                0.45047,                0.51612,                0.49054,                0.33266,                0.63055,                0.45355,                0.47638,                0.31119,                 1.1379,                 2.6615,                 1.4719,                 1.4867,              0.0004753,              0.0004753,              0.0004753
                     55,                0.60801,                 1.3082,                0.80396,                 1.0276,                0.54681,                0.38729,                0.47376,                0.33469,                0.54285,                0.38984,                0.47018,                0.31505,                  1.092,                 2.6895,                 1.4857,                 1.4888,              0.0004654,              0.0004654,              0.0004654
                     56,                0.60644,                 1.2572,                0.75669,                 1.0219,                0.80111,                0.36007,                0.43979,                0.32073,                0.81781,                0.35571,                0.43007,                0.30443,                 1.1228,                 2.7996,                 1.5392,                 1.4702,              0.0004555,              0.0004555,              0.0004555
                     57,                 0.6133,                 1.2556,                0.76173,                  1.019,                0.35919,                0.43915,                0.38424,                0.26033,                0.42599,                0.31954,                0.36419,                0.24181,                 1.0388,                 2.9369,                 1.6227,                  1.392,              0.0004456,              0.0004456,              0.0004456
                     58,                0.59368,                 1.2299,                0.75802,                 1.0103,                0.59577,                0.42225,                0.46059,                 0.3314,                0.57441,                0.40618,                0.44038,                0.29708,                 1.0273,                 2.7158,                 1.4237,                 1.4059,              0.0004357,              0.0004357,              0.0004357
                     59,                0.57657,                  1.226,                0.69335,                  0.999,                0.68319,                 0.3465,                0.39516,                0.28928,                 0.6968,                0.35779,                0.39177,                0.26475,                 1.0924,                 2.6646,                 1.5649,                 1.4617,              0.0004258,              0.0004258,              0.0004258
                     60,                0.58704,                 1.2495,                0.72855,                 1.0067,                0.61664,                0.37775,                0.38371,                0.29278,                0.65189,                0.39662,                0.40014,                0.27101,                 1.0269,                 2.6874,                 1.5127,                 1.3838,              0.0004159,              0.0004159,              0.0004159
                     61,                0.56567,                 1.1984,                0.69411,                 1.0007,                0.60232,                 0.4475,                0.41786,                0.29669,                0.59202,                0.43719,                0.40165,                0.24633,                 1.1224,                 2.6348,                 1.5039,                 1.4688,               0.000406,               0.000406,               0.000406
                     62,                0.57876,                 1.1725,                0.68943,                 1.0073,                0.38029,                0.44167,                0.38999,                0.26045,                0.59191,                0.32497,                0.36025,                0.22563,                 1.0463,                 2.8108,                   1.66,                 1.3989,              0.0003961,              0.0003961,              0.0003961
                     63,                0.58761,                 1.2208,                0.69494,                 1.0116,                  0.401,                 0.4412,                0.41136,                 0.2829,                0.40442,                0.44497,                0.39914,                0.26359,                0.98281,                 2.5508,                 1.6882,                 1.3195,              0.0003862,              0.0003862,              0.0003862
                     64,                0.52867,                 1.0894,                0.61843,                0.96968,                0.61004,                0.42212,                0.39435,                0.27349,                0.61013,                0.41959,                0.39753,                0.26324,                 1.0621,                    2.5,                 1.6374,                 1.4418,              0.0003763,              0.0003763,              0.0003763
                     65,                0.54837,                 1.1606,                0.63953,                0.98738,                0.69279,                0.39156,                0.47359,                0.33109,                0.67678,                0.38724,                0.46163,                0.30443,                 1.0975,                 2.4309,                 1.6093,                 1.4612,              0.0003664,              0.0003664,              0.0003664
                     66,                0.56448,                 1.2533,                0.67622,                 1.0034,                0.78172,                0.30202,                0.42696,                0.29808,                0.80739,                0.31003,                0.42109,                0.29151,                 1.0912,                  2.676,                 1.7337,                 1.4345,              0.0003565,              0.0003565,              0.0003565
                     67,                0.53517,                 1.1139,                0.64749,                0.97225,                0.45191,                0.35657,                0.37207,                0.26481,                0.49342,                0.35143,                0.37026,                0.25772,                 1.0612,                 2.7219,                 1.6624,                 1.3955,              0.0003466,              0.0003466,              0.0003466
                     68,                0.52463,                 1.1627,                 0.6292,                0.97308,                0.60055,                0.40064,                0.45521,                0.34408,                0.67876,                0.35814,                0.45213,                0.33696,                 1.0056,                 2.6375,                  1.574,                 1.3518,              0.0003367,              0.0003367,              0.0003367
                     69,                0.52505,                 1.1474,                0.61109,                0.97899,                  0.508,                0.36201,                0.40612,                0.29886,                 0.6646,                0.34235,                0.38832,                0.26953,                 1.0784,                 2.7906,                 1.7045,                 1.4588,              0.0003268,              0.0003268,              0.0003268
                     70,                0.52231,                 1.1113,                0.63097,                0.97546,                0.39298,                0.31969,                0.35723,                0.25096,                0.43672,                0.31268,                0.35609,                0.23584,                 1.0392,                 2.7464,                 1.5797,                 1.4098,              0.0003169,              0.0003169,              0.0003169
                     71,                0.51785,                 1.1114,                 0.6231,                0.98286,                0.70512,                0.34849,                0.40058,                0.28153,                0.74301,                0.32897,                0.38887,                0.26245,                 1.0626,                 2.5619,                 1.6585,                 1.4076,               0.000307,               0.000307,               0.000307
                     72,                0.51356,                 1.0638,                0.60627,                0.96974,                0.35626,                0.29796,                0.34432,                 0.2466,                0.35012,                0.29345,                0.33266,                0.21928,                 1.0059,                 2.8127,                 1.6273,                 1.3742,              0.0002971,              0.0002971,              0.0002971
                     73,                0.52304,                 1.0645,                0.59583,                0.98494,                0.36768,                0.39528,                 0.3603,                0.25989,                0.64031,                0.38875,                0.36998,                0.24402,                 1.0047,                 2.6538,                 1.7049,                 1.3608,              0.0002872,              0.0002872,              0.0002872
                     74,                0.51743,                  1.096,                0.56507,                0.96623,                0.71915,                0.34052,                0.39705,                0.29675,                0.72522,                0.34415,                0.37112,                0.26531,                0.99489,                 2.3369,                 1.6958,                 1.3392,              0.0002773,              0.0002773,              0.0002773
                     75,                0.49404,                 1.0712,                0.58096,                0.95723,                0.41233,                0.38756,                0.38345,                0.27948,                0.44102,                0.40667,                0.37301,                0.25363,                0.98193,                 2.6109,                 1.6203,                 1.3768,              0.0002674,              0.0002674,              0.0002674
                     76,                0.49095,                 1.1248,                0.54601,                0.95791,                0.52572,                0.34967,                0.38992,                0.27678,                0.54825,                0.36423,                0.40082,                0.26034,                0.99669,                 2.8327,                 1.5372,                 1.4217,              0.0002575,              0.0002575,              0.0002575
                     77,                0.49965,                 1.0719,                0.57066,                0.97816,                0.45101,                0.26979,                0.35173,                0.25725,                  0.434,                0.26097,                0.33772,                0.23549,                 1.0144,                 2.9272,                 1.5653,                 1.4322,              0.0002476,              0.0002476,              0.0002476
                     78,                0.48088,                 1.0621,                0.54267,                0.95711,                0.40093,                0.42787,                0.38508,                0.29267,                0.38569,                0.42047,                 0.3693,                0.26808,                0.95614,                 2.8007,                 1.7293,                 1.3126,              0.0002377,              0.0002377,              0.0002377
                     79,                 0.4818,                 0.9936,                0.54761,                0.95886,                0.74804,                0.33902,                0.45275,                  0.355,                0.76569,                0.32736,                0.44664,                0.32491,                0.95471,                 2.8641,                  1.687,                 1.3307,              0.0002278,              0.0002278,              0.0002278
                     80,                 0.4863,                 1.0311,                0.54858,                0.94872,                0.63678,                0.40161,                0.44883,                0.33218,                0.77015,                0.34985,                 0.4503,                0.30901,                  1.008,                 2.7562,                 1.5822,                 1.3993,              0.0002179,              0.0002179,              0.0002179
                     81,                0.48221,                 1.0521,                0.54202,                0.95474,                0.81099,                0.30756,                0.43782,                0.32167,                0.80242,                0.30668,                0.43436,                0.29996,                 1.0324,                 2.8373,                 1.5697,                 1.4175,               0.000208,               0.000208,               0.000208
                     82,                0.48465,                 1.0234,                  0.515,                0.94947,                0.35832,                0.42844,                0.37134,                0.25559,                0.34408,                0.41285,                0.35544,                0.24053,                 1.0469,                 2.7418,                  1.611,                 1.4553,              0.0001981,              0.0001981,              0.0001981
                     83,                0.48201,                 1.0197,                0.52057,                0.96328,                0.66813,                0.36288,                0.39295,                0.27468,                0.66133,                0.36199,                0.37689,                0.25773,                 1.0419,                 2.7339,                 1.6205,                  1.475,              0.0001882,              0.0001882,              0.0001882
                     84,                0.47468,                 0.9751,                0.50951,                0.96344,                0.66027,                0.33833,                0.45424,                0.33782,                0.66578,                0.34195,                0.44022,                0.33211,                 1.0354,                 2.5433,                 1.6324,                 1.4018,              0.0001783,              0.0001783,              0.0001783
                     85,                0.46663,                 1.0111,                0.52278,                0.95669,                0.59632,                0.34788,                0.37465,                0.27771,                0.63233,                0.37108,                0.37314,                0.26531,                0.98853,                 2.4219,                 1.6462,                 1.3349,              0.0001684,              0.0001684,              0.0001684
                     86,                0.46071,                0.98212,                0.49251,                0.93707,                0.33422,                0.38248,                0.39219,                0.27184,                0.59474,                0.28854,                0.36544,                0.24787,                0.99512,                 2.4303,                 1.6284,                 1.3735,              0.0001585,              0.0001585,              0.0001585
                     87,                0.45803,                0.97251,                0.48789,                0.94642,                 0.4697,                0.29763,                0.39978,                0.27936,                0.48628,                0.29374,                0.38762,                0.25927,                0.99023,                 2.4402,                 1.5812,                 1.3992,              0.0001486,              0.0001486,              0.0001486
                     88,                0.43944,                0.95881,                0.48474,                 0.9386,                 0.4089,                0.38055,                0.38817,                 0.2692,                0.43263,                0.39814,                0.38967,                0.26121,                  1.023,                  2.527,                 1.5945,                 1.4257,              0.0001387,              0.0001387,              0.0001387
                     89,                0.45139,                 1.0025,                0.49447,                0.94824,                0.44299,                0.37843,                 0.3747,                0.25616,                0.64444,                0.39488,                0.38185,                0.24937,                   1.06,                 2.6543,                 1.6439,                 1.4737,              0.0001288,              0.0001288,              0.0001288
                     90,                0.43669,                0.93891,                0.46455,                0.93657,                0.43981,                0.35501,                0.37977,                0.25811,                0.44129,                0.37641,                0.37484,                0.23919,                 1.0801,                 2.6405,                 1.7612,                 1.5028,              0.0001189,              0.0001189,              0.0001189
                     91,                0.38536,                 0.8775,                0.40311,                0.89502,                0.35595,                0.44277,                0.38881,                0.26258,                 0.4341,                0.37443,                0.39153,                0.24734,                 1.0745,                 2.6142,                 1.6599,                 1.5096,               0.000109,               0.000109,               0.000109
                     92,                0.38514,                0.87649,                0.39083,                0.89393,                0.61004,                0.34857,                0.40436,                0.28583,                 0.6515,                0.37351,                0.40536,                0.26886,                0.99654,                 2.7059,                 1.6462,                 1.3759,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                 0.3692,                0.87226,                0.36412,                 0.8947,                0.62421,                0.35244,                 0.4042,                0.29652,                0.67899,                0.38317,                0.41035,                0.28015,                 1.0399,                 2.6511,                 1.5657,                 1.4319,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.35661,                0.86331,                0.34369,                0.88337,                0.74444,                0.31676,                0.45155,                0.34278,                0.85339,                 0.3085,                0.46296,                0.33185,                 1.0852,                 2.6502,                 1.6676,                 1.5052,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.37252,                0.83765,                0.34515,                0.89001,                0.70778,                0.31239,                0.40503,                0.28855,                0.69879,                0.35825,                0.42254,                0.28775,                  1.077,                 2.7323,                 1.6511,                  1.527,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.35516,                0.84101,                0.33705,                0.87428,                0.72182,                 0.3219,                0.44397,                0.33399,                0.77966,                0.34861,                 0.4638,                0.32422,                 1.0287,                 2.7225,                 1.6841,                 1.4542,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.34344,                0.83812,                0.34749,                0.87347,                0.79149,                0.33014,                0.44499,                0.33108,                0.83988,                0.35126,                0.46511,                0.31899,                 1.0405,                 2.6608,                 1.7199,                 1.4575,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.34906,                0.81984,                0.32922,                0.88963,                0.89081,                0.33971,                0.46319,                0.32475,                0.89836,                0.34403,                 0.4692,                0.32053,                 1.0172,                 2.6122,                 1.7129,                 1.4322,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.34164,                0.83159,                0.31824,                0.87579,                0.86066,                0.32097,                0.44661,                0.32536,                 0.8954,                0.33731,                0.46708,                0.32379,                 1.0417,                  2.615,                 1.6726,                 1.4697,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.35038,                0.80248,                0.31932,                0.87084,                 0.8748,                0.31088,                0.44351,                 0.3208,                0.85368,                0.34229,                0.46287,                0.31867,                 1.0432,                 2.5897,                 1.7047,                 1.4561,               1.99e-05,               1.99e-05,               1.99e-05
